Logging to training_random_logs/5_robots/logs/PPO_set1
Using cpu device
Training started on Tue Jan 27 16:19:06 2026
Experiment configuration: {'algorithm': 'PPO', 'set': 1, 'verbose': 1, 'steps': 1000000, 'num_robots': 5, 'num_envs': 4, 'seed': 33, 'log_steps': 10000, 'resume': False, 'device': 'cpu'}
----------------------------------------
| rollout/                |            |
|    approx_kl            | 0.0032432936 |
|    clip_fraction        | 0.00364      |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.6        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.2e+10      |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00353     |
|    std                  | 1.02         |
|    value_loss           | 2.68e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.8         |
|    ep_rew_mean          | -4.24e+05    |
| time/                   |              |
|    fps                  | 841          |
|    time_elapsed         | 83           |
|    total_timesteps      | 70000        |
| train/                  |              |
|    approx_kl            | 0.0027309158 |
|    clip_fraction        | 0.0024       |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.6        |
|    explained_variance   | -2.38e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.24e+10     |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00291     |
|    std                  | 1.03         |
|    value_loss           | 2.58e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 27.2         |
|    ep_rew_mean          | -4.46e+05    |
| time/                   |              |
|    fps                  | 861          |
|    time_elapsed         | 92           |
|    total_timesteps      | 80000        |
| train/                  |              |
|    approx_kl            | 0.0042958227 |
|    clip_fraction        | 0.01         |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.7        |
|    explained_variance   | 2.38e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.23e+10     |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00402     |
|    std                  | 1.03         |
|    value_loss           | 2.36e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.7         |
|    ep_rew_mean          | -4.24e+05    |
| time/                   |              |
|    fps                  | 877          |
|    time_elapsed         | 102          |
|    total_timesteps      | 90000        |
| train/                  |              |
|    approx_kl            | 0.0022985733 |
|    clip_fraction        | 0.00127      |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.8        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.27e+10     |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00232     |
|    std                  | 1.03         |
|    value_loss           | 2.6e+10      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 28           |
|    ep_rew_mean          | -4.53e+05    |
| time/                   |              |
|    fps                  | 858          |
|    time_elapsed         | 116          |
|    total_timesteps      | 100000       |
| train/                  |              |
|    approx_kl            | 0.0019103319 |
|    clip_fraction        | 0.000659     |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.9        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.24e+10     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00249     |
|    std                  | 1.04         |
|    value_loss           | 2.52e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 26.5         |
|    ep_rew_mean          | -4.33e+05    |
| time/                   |              |
|    fps                  | 871          |
|    time_elapsed         | 126          |
|    total_timesteps      | 110000       |
| train/                  |              |
|    approx_kl            | 0.0036861184 |
|    clip_fraction        | 0.00565      |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.9        |
|    explained_variance   | 1.79e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.41e+10     |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00385     |
|    std                  | 1.04         |
|    value_loss           | 2.51e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.5         |
|    ep_rew_mean          | -4.18e+05    |
| time/                   |              |
|    fps                  | 882          |
|    time_elapsed         | 135          |
|    total_timesteps      | 120000       |
| train/                  |              |
|    approx_kl            | 0.0024451993 |
|    clip_fraction        | 0.0019       |
|    clip_range           | 0.2          |
|    entropy_loss         | -22          |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.23e+10     |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00268     |
|    std                  | 1.05         |
|    value_loss           | 2.43e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 24.5         |
|    ep_rew_mean          | -4.01e+05    |
| time/                   |              |
|    fps                  | 892          |
|    time_elapsed         | 145          |
|    total_timesteps      | 130000       |
| train/                  |              |
|    approx_kl            | 0.0031951899 |
|    clip_fraction        | 0.00333      |
|    clip_range           | 0.2          |
|    entropy_loss         | -22          |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.26e+10     |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00332     |
|    std                  | 1.05         |
|    value_loss           | 2.41e+10     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.7        |
|    ep_rew_mean          | -3.9e+05    |
| time/                   |             |
|    fps                  | 877         |
|    time_elapsed         | 159         |
|    total_timesteps      | 140000      |
| train/                  |             |
|    approx_kl            | 0.003220092 |
|    clip_fraction        | 0.00386     |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.1       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0017      |
|    loss                 | 1.13e+10    |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.00359    |
|    std                  | 1.06        |
|    value_loss           | 2.44e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 22.9         |
|    ep_rew_mean          | -3.74e+05    |
| time/                   |              |
|    fps                  | 885          |
|    time_elapsed         | 169          |
|    total_timesteps      | 150000       |
| train/                  |              |
|    approx_kl            | 0.0029920824 |
|    clip_fraction        | 0.00352      |
|    clip_range           | 0.2          |
|    entropy_loss         | -22.2        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.16e+10     |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00315     |
|    std                  | 1.06         |
|    value_loss           | 2.2e+10      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 28.4         |
|    ep_rew_mean          | -4.54e+05    |
| time/                   |              |
|    fps                  | 892          |
|    time_elapsed         | 179          |
|    total_timesteps      | 160000       |
| train/                  |              |
|    approx_kl            | 0.0033107544 |
|    clip_fraction        | 0.00421      |
|    clip_range           | 0.2          |
|    entropy_loss         | -22.2        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.21e+10     |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00341     |
|    std                  | 1.07         |
|    value_loss           | 2.37e+10     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.9        |
|    ep_rew_mean          | -3.73e+05   |
| time/                   |             |
|    fps                  | 899         |
|    time_elapsed         | 188         |
|    total_timesteps      | 170000      |
| train/                  |             |
|    approx_kl            | 0.003619311 |
|    clip_fraction        | 0.00565     |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.3       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0017      |
|    loss                 | 1.27e+10    |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.00379    |
|    std                  | 1.07        |
|    value_loss           | 2.35e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 22.9         |
|    ep_rew_mean          | -3.75e+05    |
| time/                   |              |
|    fps                  | 905          |
|    time_elapsed         | 198          |
|    total_timesteps      | 180000       |
| train/                  |              |
|    approx_kl            | 0.0016210694 |
|    clip_fraction        | 0.000635     |
|    clip_range           | 0.2          |
|    entropy_loss         | -22.4        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.07e+10     |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.00182     |
|    std                  | 1.08         |
|    value_loss           | 2.22e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 20.1         |
|    ep_rew_mean          | -3.38e+05    |
| time/                   |              |
|    fps                  | 893          |
|    time_elapsed         | 212          |
|    total_timesteps      | 190000       |
| train/                  |              |
|    approx_kl            | 0.0027836817 |
|    clip_fraction        | 0.0026       |
|    clip_range           | 0.2          |
|    entropy_loss         | -22.5        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.24e+10     |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00255     |
|    std                  | 1.08         |
|    value_loss           | 2.33e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 26.7         |
|    ep_rew_mean          | -4.31e+05    |
| time/                   |              |
|    fps                  | 899          |
|    time_elapsed         | 222          |
|    total_timesteps      | 200000       |
| train/                  |              |
|    approx_kl            | 0.0032535822 |
|    clip_fraction        | 0.00338      |
|    clip_range           | 0.2          |
|    entropy_loss         | -22.5        |
|    explained_variance   | 1.79e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.22e+10     |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00296     |
|    std                  | 1.09         |
|    value_loss           | 2.28e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 21.5         |
|    ep_rew_mean          | -3.53e+05    |
| time/                   |              |
|    fps                  | 904          |
|    time_elapsed         | 232          |
|    total_timesteps      | 210000       |
| train/                  |              |
|    approx_kl            | 0.0030335966 |
|    clip_fraction        | 0.00323      |
|    clip_range           | 0.2          |
|    entropy_loss         | -22.6        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.27e+10     |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.00338     |
|    std                  | 1.09         |
|    value_loss           | 2.33e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.8         |
|    ep_rew_mean          | -4.13e+05    |
| time/                   |              |
|    fps                  | 908          |
|    time_elapsed         | 242          |
|    total_timesteps      | 220000       |
| train/                  |              |
|    approx_kl            | 0.0024858187 |
|    clip_fraction        | 0.00148      |
|    clip_range           | 0.2          |
|    entropy_loss         | -22.6        |
|    explained_variance   | -2.38e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.06e+10     |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00264     |
|    std                  | 1.1          |
|    value_loss           | 2.16e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 22.1         |
|    ep_rew_mean          | -3.67e+05    |
| time/                   |              |
|    fps                  | 898          |
|    time_elapsed         | 256          |
|    total_timesteps      | 230000       |
| train/                  |              |
|    approx_kl            | 0.0017891253 |
|    clip_fraction        | 0.000464     |
|    clip_range           | 0.2          |
|    entropy_loss         | -22.7        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.14e+10     |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.0023      |
|    std                  | 1.1          |
|    value_loss           | 2.15e+10     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 25.4        |
|    ep_rew_mean          | -4.04e+05   |
| time/                   |             |
|    fps                  | 902         |
|    time_elapsed         | 265         |
|    total_timesteps      | 240000      |
| train/                  |             |
|    approx_kl            | 0.002187722 |
|    clip_fraction        | 0.00125     |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.8       |
|    explained_variance   | -2.38e-07   |
|    learning_rate        | 0.0017      |
|    loss                 | 9.54e+09    |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00262    |
|    std                  | 1.11        |
|    value_loss           | 2.17e+10    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24.1        |
|    ep_rew_mean          | -3.88e+05   |
| time/                   |             |
|    fps                  | 907         |
|    time_elapsed         | 275         |
|    total_timesteps      | 250000      |
| train/                  |             |
|    approx_kl            | 0.002832103 |
|    clip_fraction        | 0.00272     |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.9       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0017      |
|    loss                 | 1.13e+10    |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.00334    |
|    std                  | 1.11        |
|    value_loss           | 2.16e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 20.7         |
|    ep_rew_mean          | -3.43e+05    |
| time/                   |              |
|    fps                  | 911          |
|    time_elapsed         | 285          |
|    total_timesteps      | 260000       |
| train/                  |              |
|    approx_kl            | 0.0030031456 |
|    clip_fraction        | 0.00288      |
|    clip_range           | 0.2          |
|    entropy_loss         | -22.9        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1e+10        |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.00291     |
|    std                  | 1.12         |
|    value_loss           | 2.17e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 22.9         |
|    ep_rew_mean          | -3.7e+05     |
| time/                   |              |
|    fps                  | 913          |
|    time_elapsed         | 295          |
|    total_timesteps      | 270000       |
| train/                  |              |
|    approx_kl            | 0.0027013796 |
|    clip_fraction        | 0.00178      |
|    clip_range           | 0.2          |
|    entropy_loss         | -23          |
|    explained_variance   | 2.38e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.02e+10     |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00297     |
|    std                  | 1.12         |
|    value_loss           | 2.03e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 15.7         |
|    ep_rew_mean          | -2.74e+05    |
| time/                   |              |
|    fps                  | 898          |
|    time_elapsed         | 311          |
|    total_timesteps      | 280000       |
| train/                  |              |
|    approx_kl            | 0.0016961908 |
|    clip_fraction        | 0.00033      |
|    clip_range           | 0.2          |
|    entropy_loss         | -23.1        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.13e+10     |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.00198     |
|    std                  | 1.13         |
|    value_loss           | 2.19e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 21.2         |
|    ep_rew_mean          | -3.47e+05    |
| time/                   |              |
|    fps                  | 902          |
|    time_elapsed         | 321          |
|    total_timesteps      | 290000       |
| train/                  |              |
|    approx_kl            | 0.0018661666 |
|    clip_fraction        | 0.000757     |
|    clip_range           | 0.2          |
|    entropy_loss         | -23.2        |
|    explained_variance   | 2.38e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 9.44e+09     |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.00217     |
|    std                  | 1.14         |
|    value_loss           | 2.01e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.6         |
|    ep_rew_mean          | -2.99e+05    |
| time/                   |              |
|    fps                  | 905          |
|    time_elapsed         | 331          |
|    total_timesteps      | 300000       |
| train/                  |              |
|    approx_kl            | 0.0041967174 |
|    clip_fraction        | 0.00864      |
|    clip_range           | 0.2          |
|    entropy_loss         | -23.2        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 9.56e+09     |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.00416     |
|    std                  | 1.14         |
|    value_loss           | 2.03e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.5         |
|    ep_rew_mean          | -2.8e+05     |
| time/                   |              |
|    fps                  | 909          |
|    time_elapsed         | 340          |
|    total_timesteps      | 310000       |
| train/                  |              |
|    approx_kl            | 0.0028006146 |
|    clip_fraction        | 0.00299      |
|    clip_range           | 0.2          |
|    entropy_loss         | -23.3        |
|    explained_variance   | -2.38e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 8.84e+09     |
|    n_updates            | 370          |
|    policy_gradient_loss | -0.00286     |
|    std                  | 1.14         |
|    value_loss           | 1.97e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 20.9         |
|    ep_rew_mean          | -3.4e+05     |
| time/                   |              |
|    fps                  | 902          |
|    time_elapsed         | 354          |
|    total_timesteps      | 320000       |
| train/                  |              |
|    approx_kl            | 0.0029716415 |
|    clip_fraction        | 0.003        |
|    clip_range           | 0.2          |
|    entropy_loss         | -23.4        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 9.04e+09     |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00309     |
|    std                  | 1.15         |
|    value_loss           | 2.03e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 19.1         |
|    ep_rew_mean          | -3.19e+05    |
| time/                   |              |
|    fps                  | 905          |
|    time_elapsed         | 364          |
|    total_timesteps      | 330000       |
| train/                  |              |
|    approx_kl            | 0.0030630128 |
|    clip_fraction        | 0.00425      |
|    clip_range           | 0.2          |
|    entropy_loss         | -23.4        |
|    explained_variance   | 2.98e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.05e+10     |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.00308     |
|    std                  | 1.16         |
|    value_loss           | 2.14e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.5         |
|    ep_rew_mean          | -4.05e+05    |
| time/                   |              |
|    fps                  | 908          |
|    time_elapsed         | 374          |
|    total_timesteps      | 340000       |
| train/                  |              |
|    approx_kl            | 0.0019244645 |
|    clip_fraction        | 0.000842     |
|    clip_range           | 0.2          |
|    entropy_loss         | -23.5        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.15e+10     |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.0023      |
|    std                  | 1.16         |
|    value_loss           | 2.02e+10     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20.2        |
|    ep_rew_mean          | -3.32e+05   |
| time/                   |             |
|    fps                  | 911         |
|    time_elapsed         | 383         |
|    total_timesteps      | 350000      |
| train/                  |             |
|    approx_kl            | 0.002870194 |
|    clip_fraction        | 0.00264     |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.6       |
|    explained_variance   | -2.38e-07   |
|    learning_rate        | 0.0017      |
|    loss                 | 1.15e+10    |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00305    |
|    std                  | 1.17        |
|    value_loss           | 2.14e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 20           |
|    ep_rew_mean          | -3.23e+05    |
| time/                   |              |
|    fps                  | 914          |
|    time_elapsed         | 393          |
|    total_timesteps      | 360000       |
| train/                  |              |
|    approx_kl            | 0.0013629203 |
|    clip_fraction        | 0.000378     |
|    clip_range           | 0.2          |
|    entropy_loss         | -23.6        |
|    explained_variance   | 2.38e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 1.08e+10     |
|    n_updates            | 430          |
|    policy_gradient_loss | -0.00153     |
|    std                  | 1.17         |
|    value_loss           | 2.06e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 20.6         |
|    ep_rew_mean          | -3.37e+05    |
| time/                   |              |
|    fps                  | 908          |
|    time_elapsed         | 407          |
|    total_timesteps      | 370000       |
| train/                  |              |
|    approx_kl            | 0.0022899231 |
|    clip_fraction        | 0.00179      |
|    clip_range           | 0.2          |
|    entropy_loss         | -23.7        |
|    explained_variance   | -2.38e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 9.14e+09     |
|    n_updates            | 450          |
|    policy_gradient_loss | -0.00261     |
|    std                  | 1.18         |
|    value_loss           | 1.93e+10     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.7        |
|    ep_rew_mean          | -3.47e+05   |
| time/                   |             |
|    fps                  | 911         |
|    time_elapsed         | 416         |
|    total_timesteps      | 380000      |
| train/                  |             |
|    approx_kl            | 0.002224553 |
|    clip_fraction        | 0.00159     |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.8       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0017      |
|    loss                 | 1.03e+10    |
|    n_updates            | 460         |
|    policy_gradient_loss | -0.00254    |
|    std                  | 1.19        |
|    value_loss           | 1.93e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 18.4         |
|    ep_rew_mean          | -3.08e+05    |
| time/                   |              |
|    fps                  | 914          |
|    time_elapsed         | 426          |
|    total_timesteps      | 390000       |
| train/                  |              |
|    approx_kl            | 0.0025683707 |
|    clip_fraction        | 0.00244      |
|    clip_range           | 0.2          |
|    entropy_loss         | -23.9        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.07e+10     |
|    n_updates            | 470          |
|    policy_gradient_loss | -0.00293     |
|    std                  | 1.19         |
|    value_loss           | 2e+10        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.4        |
|    ep_rew_mean          | -3.64e+05   |
| time/                   |             |
|    fps                  | 916         |
|    time_elapsed         | 436         |
|    total_timesteps      | 400000      |
| train/                  |             |
|    approx_kl            | 0.002574506 |
|    clip_fraction        | 0.00215     |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.9       |
|    explained_variance   | 1.19e-07    |
|    learning_rate        | 0.0017      |
|    loss                 | 9.4e+09     |
|    n_updates            | 480         |
|    policy_gradient_loss | -0.00317    |
|    std                  | 1.2         |
|    value_loss           | 1.92e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.3         |
|    ep_rew_mean          | -2.98e+05    |
| time/                   |              |
|    fps                  | 911          |
|    time_elapsed         | 449          |
|    total_timesteps      | 410000       |
| train/                  |              |
|    approx_kl            | 0.0013477298 |
|    clip_fraction        | 0.000415     |
|    clip_range           | 0.2          |
|    entropy_loss         | -24          |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.03e+10     |
|    n_updates            | 500          |
|    policy_gradient_loss | -0.00208     |
|    std                  | 1.2          |
|    value_loss           | 1.93e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 18.5         |
|    ep_rew_mean          | -3.12e+05    |
| time/                   |              |
|    fps                  | 913          |
|    time_elapsed         | 459          |
|    total_timesteps      | 420000       |
| train/                  |              |
|    approx_kl            | 0.0033796374 |
|    clip_fraction        | 0.00475      |
|    clip_range           | 0.2          |
|    entropy_loss         | -24.1        |
|    explained_variance   | 1.79e-07     |
|    learning_rate        | 0.0017       |
|    loss                 | 9.32e+09     |
|    n_updates            | 510          |
|    policy_gradient_loss | -0.00323     |
|    std                  | 1.21         |
|    value_loss           | 1.85e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 20.1         |
|    ep_rew_mean          | -3.34e+05    |
| time/                   |              |
|    fps                  | 916          |
|    time_elapsed         | 469          |
|    total_timesteps      | 430000       |
| train/                  |              |
|    approx_kl            | 0.0021078219 |
|    clip_fraction        | 0.00134      |
|    clip_range           | 0.2          |
|    entropy_loss         | -24.2        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.01e+10     |
|    n_updates            | 520          |
|    policy_gradient_loss | -0.00258     |
|    std                  | 1.21         |
|    value_loss           | 1.93e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 19.1         |
|    ep_rew_mean          | -3.17e+05    |
| time/                   |              |
|    fps                  | 918          |
|    time_elapsed         | 479          |
|    total_timesteps      | 440000       |
| train/                  |              |
|    approx_kl            | 0.0023109731 |
|    clip_fraction        | 0.00128      |
|    clip_range           | 0.2          |
|    entropy_loss         | -24.2        |
|    explained_variance   | -2.38e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.04e+10     |
|    n_updates            | 530          |
|    policy_gradient_loss | -0.00277     |
|    std                  | 1.22         |
|    value_loss           | 1.9e+10      |
